id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
20000407,HOTEL RAFAEL ATOCHA,Abierta,Acera,2,ARGANZUELA,PALOS DE MOGUER
270032639,OL? T?,Abierta,Superficie en parcela privada,8,FUENCARRAL-EL PARDO,EL PILAR
30000768,LA VENTA DE ESCAMPLERO,Abierta,Acera,3,RETIRO,NI?O JESUS
40001219,SOBRE VINO,Abierta,Acera,4,SALAMANCA,LISTA
270532105,BAISAKHI,Abierta,Acera,1,CENTRO,EMBAJADORES
280012033,URBAN MADRID CAFE,Abierta,Plaza peatonal,1,CENTRO,SOL
270039696,LA BOMBILLA,Abierta,Plaza con bandas permanentes de circulaci? rodada,1,CENTRO,CORTES
270404478,LA CASSETA,Abierta,Acera,4,SALAMANCA,LISTA
270309491,MILFORD,Abierta,Bulevar,4,SALAMANCA,CASTELLANA
270419546,NO SOLICITADO,Abierta,Acera,4,SALAMANCA,RECOLETOS
270492631,RETAPAS,Abierta,Plaza peatonal,1,CENTRO,EMBAJADORES
10001382,HOTEL INTUR PALACIO DE SAN MARTIN,Abierta,Plaza peatonal,1,CENTRO,SOL
270414716,RESTAURANTE LOS ARRIEROS,Abierta,Calle peatonal,1,CENTRO,PALACIO
270244370,PASTELERIA MANOLO CAFETERIA,Abierta,Acera,1,CENTRO,JUSTICIA
270441651,LLAO LLAO,Abierta,Calle peatonal,1,CENTRO,SOL
80000291,RESTAURANTE DOMIN?,Abierta,Superficie en parcela privada,8,FUENCARRAL-EL PARDO,VALVERDE
280042371,CASTILLO 100,Abierta,Acera,10,LATINA,ALUCHE
280010387,PIZZERIA SANDOS,Abierta,Plaza peatonal,1,CENTRO,UNIVERSIDAD
280010692,CAFE MALABAR,Abierta,Plaza peatonal,1,CENTRO,UNIVERSIDAD
10002879,PIZZERIA MARAVILLAS,Abierta,Plaza peatonal,1,CENTRO,UNIVERSIDAD
270027302,BAR EL RINC?N DE TOMY,Abierta,Acera,18,VILLA DE VALLECAS,CASCO H.VALLECAS
20000364,HELADER?A,Abierta,Acera,2,ARGANZUELA,IMPERIAL
40002488,O'CLOCK,Abierta,Bulevar,4,SALAMANCA,CASTELLANA
